player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Marcus Thuram,fr FRA,FW,it Inter,25,8,5,457,1,0,0,1.5,1.0
Cheikh Tidiane Niasse,sn SEN,MF,ch Young Boys,23,6,6,534,0,1,0,0.3,0.3
Kieran Tierney,sct SCO,DF,es Real Sociedad,26,2,1,66,0,0,0,0.1,0.1
Guus Til,nl NED,MF,nl PSV Eindhoven,25,5,3,184,0,0,0,0.2,0.1
Malik Tillman,us USA,MF,nl PSV Eindhoven,21,8,5,505,0,1,0,0.4,0.5
Quinten Timber,nl NED,MF,nl Feyenoord,22,6,6,463,0,1,0,0.6,1.0
Takehiro Tomiyasu,jp JPN,DF,eng Arsenal,24,6,5,388,0,2,0,0.3,0.6
Fikayo Tomori,eng ENG,DF,it Milan,25,6,6,539,0,0,0,0.5,0.0
Sandro Tonali,it ITA,MF,eng Newcastle Utd,23,3,2,161,0,0,0,0.1,0.0
Lucas Torreira,uy URU,MF,tr Galatasaray,27,6,6,496,0,0,0,0.4,0.5
Ferrán Torres,es ESP,FW,es Barcelona,23,8,3,378,3,1,0,1.6,0.5
Óliver Torres,es ESP,"FW,MF",es Sevilla,28,3,1,101,0,0,0,0.0,0.1
Lucas Tousart,fr FRA,MF,de Union Berlin,26,5,3,236,0,1,0,0.1,0.3
Chaka Traorè,ci CIV,MF,it Milan,18,1,0,14,0,0,0,0.0,0.1
Hamari Traoré,ml MLI,DF,es Real Sociedad,31,7,6,529,0,0,0,0.1,0.2
Gernot Trauner,at AUT,DF,nl Feyenoord,31,4,3,280,0,0,0,0.2,0.2
Christopher Trimmel,at AUT,"FW,DF",de Union Berlin,36,3,1,126,0,0,0,0.0,0.1
Kieran Trippier,eng ENG,DF,eng Newcastle Utd,32,6,6,512,0,1,0,0.1,0.6
Leandro Trossard,be BEL,FW,eng Arsenal,28,9,6,531,4,1,0,1.6,0.8
Anatolii Trubin,ua UKR,GK,pt Benfica,21,6,6,540,0,0,0,0.0,0.0
David Turnbull,sct SCO,"MF,FW",sct Celtic,24,2,0,35,0,0,0,0.0,0.0
Beñat Turrientes,es ESP,MF,es Real Sociedad,21,6,1,192,0,0,0,0.5,0.2
Ayase Ueda,jp JPN,FW,nl Feyenoord,24,5,1,151,0,0,0,1.5,0.0
Manuel Ugarte Ribeiro,uy URU,MF,fr Paris S-G,22,8,5,391,0,0,0,0.1,0.0
Filip Ugrinic,ch SUI,MF,ch Young Boys,24,6,6,516,1,1,0,0.5,0.6
Andreas Ulmer,at AUT,DF,at RB Salzburg,37,3,3,218,0,0,0,0.1,0.2
Sven Ulreich,de GER,GK,de Bayern Munich,34,3,3,270,0,0,0,0.0,0.0
Dayot Upamecano,fr FRA,DF,de Bayern Munich,24,7,6,499,0,0,0,0.3,0.0
Anthony Valencia,ec ECU,"MF,FW",be Antwerp,20,3,0,38,0,0,0,0.0,0.0
Federico Valverde,uy URU,"MF,FW",es Real Madrid,25,13,12,"1,067",1,0,0,1.1,0.3
Zeno Van den Bosch,be BEL,DF,be Antwerp,20,3,1,94,0,0,0,0.0,0.0
Raphaël Varane,fr FRA,DF,eng Manchester Utd,30,4,3,334,0,0,0,0.0,0.0
Alan Varela,ar ARG,MF,pt Porto,22,8,8,705,0,0,0,0.4,0.0
Denis Vavro,sk SVK,DF,dk FC Copenhagen,27,8,8,707,0,0,0,0.1,0.0
Lucas Vázquez,es ESP,DF,es Real Madrid,32,9,4,376,0,1,0,0.1,1.3
